Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy;Rozdzial
park;park;;[sound:quizlet-16914797931-front.mp3];[sound:quizlet-16914797931-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076475_200115_1356_17.jpg'>;Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
parking lot;parking;Synonimy: parking, car park;[sound:quizlet-16914797932-front.mp3];[sound:quizlet-16914797932-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076476_200115_1348_45.jpg'>;Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
patio;otwarty taras/patio;;[sound:quizlet-16914797933-front.mp3];[sound:quizlet-16914797933-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076477_200115_1334_32.jpg'>;Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
patio door;drzwi na taras;;[sound:quizlet-16914797934-front.mp3];[sound:quizlet-16914797934-back.mp3];"<img src=""quizlet-kmIlMOUTnRV26tpSykUM1A.jpg"">";Wykończenia i detale
pavement;bruk;Synonimy: paving;[sound:quizlet-16914797935-front.mp3];[sound:quizlet-16914797935-back.mp3];"<img src=""quizlet-WEsadKZL2TxEY56Cl4Jwcg.jpg"">";Elementy konstrukcyjne
paver;brukarz;;[sound:quizlet-16914797936-front.mp3];[sound:quizlet-16914797936-back.mp3];"<img src=""paver.jpg"">";Zarządzanie projektem, bezpieczeństwo i przepisy
pavilion roof;dach namiotowy;;[sound:quizlet-16914797937-front.mp3];[sound:quizlet-16914797937-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076479_200115_1358_01.jpg'>;Elementy konstrukcyjne
peat;torf;;[sound:quizlet-16914797938-front.mp3];[sound:quizlet-16914797938-back.mp3];"<img src=""quizlet-7m6OmdzQHGT5AiUCnNZdCw.jpg"">";Materiały budowlane
pediment;fronton;;[sound:quizlet-16914797939-front.mp3];[sound:quizlet-16914797939-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076480_191228_1548_53.jpg'>;Elementy konstrukcyjne
peelable;zdzieralny;;[sound:quizlet-16914797940-front.mp3];[sound:quizlet-16914797940-back.mp3];"<img src=""quizlet-ag79AnoSbqLgp8cXqii-6w.png"">";Materiały budowlane
pendulum;wahadło;;[sound:quizlet-16914797941-front.mp3];[sound:quizlet-16914797941-back.mp3];"<img src=""quizlet-ybAeVhpJApU8zZd159uR0Q.jpg"">";Elementy konstrukcyjne
peristyle;perystyl;;[sound:quizlet-16914797942-front.mp3];[sound:quizlet-16914797942-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076481_191229_1711_36.jpg'>;Budynki
permeability;przepuszczalność;;[sound:quizlet-16914797943-front.mp3];[sound:quizlet-16914797943-back.mp3];"<img src=""quizlet-KDE4sT-mtHDv.eDqu2llgA.jpg"">";Materiały budowlane
permutation;permutacja;;[sound:quizlet-16914797944-front.mp3];[sound:quizlet-16914797944-back.mp3];"<img src=""quizlet-aFg1xJqb0Gvv9jvAtKZpAg.png"">";Pomiar i jednostki
perpendicular;prostopadły;;[sound:quizlet-16914797945-front.mp3];[sound:quizlet-16914797945-back.mp3];"<img src=""quizlet-SGmS0KV1gET5r20agC1cVA.jpg"">";Rysunek techniczny i wizualizacja
pH value;wartość pH;;[sound:quizlet-16914797946-front.mp3];[sound:quizlet-16914797946-back.mp3];"<img src=""quizlet-c1PjiHDYbeaOvxfGqhesEw.png"">";Pomiar i jednostki
picket;szpica;;[sound:quizlet-16914797947-front.mp3];[sound:quizlet-16914797947-back.mp3];"<img src=""quizlet-Hw01w_5xBNpY4cNNK89QNA.jpg"">";Elementy konstrukcyjne
pie chart;wykres kołowy;;[sound:quizlet-16914797948-front.mp3];[sound:quizlet-16914797948-back.mp3];"<img src=""quizlet-m7RRP710vy-TmkI6U8FtjQ.jpg"">";Rysunek techniczny i wizualizacja
pier;molo;;[sound:quizlet-16914797949-front.mp3];[sound:quizlet-16914797949-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214376698_191229_1735_55.jpg'>;Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
pile dwelling;dom na palach;;[sound:quizlet-16914798064-front.mp3];[sound:quizlet-16914798064-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076483_191228_1544_21.jpg'>;Budynki
pillar;filar;Synonimy: pier;[sound:quizlet-16914807876-front.mp3];[sound:quizlet-16914807876-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214376699_191229_1747_53.jpg'>;Elementy konstrukcyjne
pinnacle;dzwonnica;Synonimy: belfry;[sound:quizlet-16914807877-front.mp3];[sound:quizlet-16914807877-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076484_191229_1744_52.jpg'>;Budynki
pipe;rura;Synonimy: tube;[sound:quizlet-16914807878-front.mp3];[sound:quizlet-16914807878-back.mp3];"<img src=""quizlet-7QTUaO4y0qPeNYzkZTufzw.jpg"">";Instalacje techniczne
pipeline;rurociąg;Synonimy: pipework, piping;[sound:quizlet-16914807879-front.mp3];[sound:quizlet-16914807879-back.mp3];"<img src=""quizlet-tPyWdNkFPYPwGsc.s5oO7A.jpg"">";Instalacje techniczne
pitched roof;dach dwuspadowy;;[sound:quizlet-16914807880-front.mp3];[sound:quizlet-16914807880-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076485_200114_1646_45.jpg'>;Elementy konstrukcyjne
planetarium;planetarium;;[sound:quizlet-16914807881-front.mp3];[sound:quizlet-16914807881-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076486_200115_1351_07.jpg'>;Budynki
plank;deska;;[sound:quizlet-16914807882-front.mp3];[sound:quizlet-16914807882-back.mp3];"<img src=""quizlet-4Rzu5nWUdJBQfi.OapL5FA.jpg"">";Materiały budowlane
plaster base;baza gipsowa;;[sound:quizlet-16914807883-front.mp3];[sound:quizlet-16914807883-back.mp3];"<img src=""plaster base.png"">";Materiały budowlane
plaster bead;tynk gipsowy;;[sound:quizlet-16914807884-front.mp3];[sound:quizlet-16914807884-back.mp3];"<img src=""quizlet-E5dRU2Xi1sbSHnBQl.QwIw.jpg"">";Wykończenia i detale
plasterboard;plyta gipsowa;;[sound:quizlet-16914807885-front.mp3];[sound:quizlet-16914807885-back.mp3];"<img src=""quizlet-uqNXoIvl7fo8cOIHRyAMIQ.jpg"">";Materiały budowlane
plasterer;tynkarz;;[sound:quizlet-16914807886-front.mp3];[sound:quizlet-16914807886-back.mp3];"<img src=""quizlet-jPL6GmJ5s.qkgEqIK4AE5Q.jpg"">";Zarządzanie projektem, bezpieczeństwo i przepisy
plastering;tynkowanie;;[sound:quizlet-16914807887-front.mp3];[sound:quizlet-16914807887-back.mp3];"<img src=""quizlet-Ek0Few.2t-vDgEFDyDR5OA.png"">";Proces budowlany
plasterwork;tynk;Synonimy: roughcast, plaster, parget;[sound:quizlet-16914807888-front.mp3];[sound:quizlet-16914807888-back.mp3];"<img src=""quizlet-0yglv4DtOKY6CmTnxVk16A.jpg"">";Wykończenia i detale
plywood;sklejka;;[sound:quizlet-16914807889-front.mp3];[sound:quizlet-16914807889-back.mp3];"<img src=""quizlet-dt69KZcvOagOGd1PWXqYFQ.jpg"">";Materiały budowlane
pneumatic;pneumatyczny;;[sound:quizlet-16914807890-front.mp3];[sound:quizlet-16914807890-back.mp3];"<img src=""quizlet-zDUHMTqamFKBfM-e0GST1g.jpg"">";Instalacje techniczne
pointed;(łuk) ostry;;[sound:quizlet-16914807891-front.mp3];[sound:quizlet-16914807891-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076488_191229_1736_19.jpg'>;Elementy konstrukcyjne
polarisation;polaryzacja;;[sound:quizlet-16914807892-front.mp3];[sound:quizlet-16914807892-back.mp3];"<img src=""quizlet-KMhvPwKLH5R5.JQ8niwY4A.png"">";Instalacje techniczne
pollute;zanieczyszczać;;[sound:quizlet-16914807893-front.mp3];[sound:quizlet-16914807893-back.mp3];"<img src=""quizlet-yJzIz3Mkg.fvtl9t50ZfUA.jpg"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
pollution;zanieczyszczenie;;[sound:quizlet-16914807894-front.mp3];[sound:quizlet-16914807894-back.mp3];"<img src=""quizlet-yJzIz3Mkg.fvtl9t50ZfUA.jpg"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
polymerisation;polimeryzacja;;[sound:quizlet-16914807895-front.mp3];[sound:quizlet-16914807895-back.mp3];"<img src=""quizlet-kNQmpPZO468wSjDyGFMAdQ.jpg"">";Materiały budowlane
pommel;głowica;;[sound:quizlet-16914807896-front.mp3];[sound:quizlet-16914807896-back.mp3];"<img src=""quizlet-u.wVTT49P.daNSJQgVCodA.png"">";Elementy konstrukcyjne
porch;ganek;Synonimy: parapet walk;[sound:quizlet-16914807897-front.mp3];[sound:quizlet-16914807897-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214376716_200114_1644_00.jpg'>;Budynki
porch;przedsionek;;[sound:quizlet-16914807898-front.mp3];[sound:quizlet-16914807898-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076489_191229_1724_30.jpg'>;Budynki
porch dome;kopuła przedsionka;;[sound:quizlet-16914807899-front.mp3];[sound:quizlet-16914807899-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076490_191229_1725_11.jpg'>;Budynki
postern;poterna;;[sound:quizlet-16914807900-front.mp3];[sound:quizlet-16914807900-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076491_200114_1629_06.jpg'>;Budynki
prayer hall;sala modlitwy;;[sound:quizlet-16914807901-front.mp3];[sound:quizlet-16914807901-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076492_191229_1724_56.jpg'>;Budynki
precision;precyzja;;[sound:quizlet-16914807902-front.mp3];[sound:quizlet-16914807902-back.mp3];"<img src=""quizlet-w9c1YM1xlIS-Py0ckGWqKw.jpg"">";Pomiar i jednostki
preconstruction process;proces przedkonstrukcyjny;;[sound:quizlet-16914807903-front.mp3];[sound:quizlet-16914807903-back.mp3];"<img src=""quizlet-kYHFAOTLfrCIBt3r-hqM3g.jpg"">";Proces budowlany
pronaos;pronaos;;[sound:quizlet-16914807904-front.mp3];[sound:quizlet-16914807904-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076493_191229_1713_50.jpg'>;Budynki
protractor;kątomierz;;[sound:quizlet-16914807905-front.mp3];[sound:quizlet-16914807905-back.mp3];"<img src=""quizlet-RwyebOEpKn24kKfxP7TY4Q.png"">";Narzędzia i sprzęt
public garden;zieleniec;;[sound:quizlet-16914807906-front.mp3];[sound:quizlet-16914807906-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076494_200115_1336_39.jpg'>;Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
qibla wall;ściana kibli;;[sound:quizlet-16914807907-front.mp3];[sound:quizlet-16914807907-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076448_191229_1726_50.jpg'>;Budynki
quality;jakość;;[sound:quizlet-16914807908-front.mp3];[sound:quizlet-16914807908-back.mp3];"<img src=""quizlet--etB5ZHgQqBeQE3zocitSg.jpg"">";Proces budowlany
quarry;kamieniołom;;[sound:quizlet-16914807909-front.mp3];[sound:quizlet-16914807909-back.mp3];"<img src=""quizlet-SwBFHrBIYrZ.ei-d7NfFBQ.jpg"">";Materiały budowlane
quicklime;wapno palone;;[sound:quizlet-16914807910-front.mp3];[sound:quizlet-16914807910-back.mp3];"<img src=""quizlet-AKtWPNrInTvPnULKRWGJ9g.jpg"">";Materiały budowlane
quoin;narożnik;;[sound:quizlet-16914807911-front.mp3];[sound:quizlet-16914807911-back.mp3];"<img src=""quizlet-BwHLP-.rz1iOtsBX67Z.Ng.jpg"">";Elementy konstrukcyjne
rafter;krokiew;;[sound:quizlet-16914807912-front.mp3];[sound:quizlet-16914807912-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076401_200115_1302_20.jpg'>;Elementy konstrukcyjne
rail;szyna;;[sound:quizlet-16914807913-front.mp3];[sound:quizlet-16914807913-back.mp3];"<img src=""quizlet-ivGVJusoOV6dGHJDknf3qQ.jpg"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
railing;balustrada;Synonimy: balustrade, banister;[sound:quizlet-16914807914-front.mp3];[sound:quizlet-16914807914-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214376821_200115_1315_20.jpg'>;Wykończenia i detale
railway;tory kolejowe;Synonimy: railroad;[sound:quizlet-16914807915-front.mp3];[sound:quizlet-16914807915-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076402_200115_1350_46.jpg'>;Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
rampart;szaniec;;[sound:quizlet-16914807916-front.mp3];[sound:quizlet-16914807916-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076403_200114_1630_22.jpg'>;Budynki
rasp;zgrzyt;;[sound:quizlet-16914807917-front.mp3];[sound:quizlet-16914807917-back.mp3];"<img src=""quizlet-YsVRQ7EtoMhUKiC912vEUw.jpg"">";Narzędzia i sprzęt
ratio;stosunek;;[sound:quizlet-16914807918-front.mp3];[sound:quizlet-16914807918-back.mp3];"<img src=""quizlet-LQqls0tFLdIQ-hSsxj0M2A.jpg"">";Pomiar i jednostki
reception hall;sala przyjęć;;[sound:quizlet-16914807919-front.mp3];[sound:quizlet-16914807919-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076404_191229_1729_22.jpg'>;Budynki
reducer;reduktor;;[sound:quizlet-16914807920-front.mp3];[sound:quizlet-16914807920-back.mp3];"<img src=""quizlet-qcckl9QMDAh.The81yCwAw.png"">";Instalacje techniczne
rehearsal room;sala prób;;[sound:quizlet-16914807921-front.mp3];[sound:quizlet-16914807921-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076405_200115_1341_40.jpg'>;Budynki
reinforce;wzmacniać;Synonimy: strengthen, enhance, consolidate;[sound:quizlet-16914807922-front.mp3];[sound:quizlet-16914807922-back.mp3];"<img src=""quizlet-vIv7xk2B-kvaZib3k1ttSg.jpg"">";Proces budowlany
reinforcement;wzmocnienie;Synonimy: consolidation, enhancement;[sound:quizlet-16914807923-front.mp3];[sound:quizlet-16914807923-back.mp3];"<img src=""quizlet-R4UEOe813zZoNDP5qDJcZA.jpg"">";Proces budowlany
renovation;renowacja;;[sound:quizlet-16914807924-front.mp3];[sound:quizlet-16914807924-back.mp3];"<img src=""quizlet-BR4n.syMJvC-BX1deRZNwg.jpg"">";Proces budowlany
reservoir;zbiornik;Synonimy: tank, container;[sound:quizlet-16914807925-front.mp3];[sound:quizlet-16914807925-back.mp3];"<img src=""quizlet-zIYE_IFT6YF2GrLb4I0rCg.jpg"">";Instalacje techniczne
resilience;sprężystość;Synonimy: elasticity, springiness;[sound:quizlet-16914807926-front.mp3];[sound:quizlet-16914807926-back.mp3];"<img src=""quizlet-ljDLDZlMUG9URl7S7ppuCQ.jpg"">";Materiały budowlane
resistance;odporność;Synonimy: immunity, hardness, tolerance;[sound:quizlet-16914807927-front.mp3];[sound:quizlet-16914807927-back.mp3];"<img src=""quizlet-z88EZba87t63dKf9fr7IPQ.jpg"">";Materiały budowlane
resistivity;oporność;Synonimy: resistance,;[sound:quizlet-16914807928-front.mp3];[sound:quizlet-16914807928-back.mp3];"<img src=""quizlet-eNlILzjmF1iqbLZ07JHS0w.jpg"">";Materiały budowlane
restaurant;restauracja;;[sound:quizlet-16914807929-front.mp3];[sound:quizlet-16914807929-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076406_200115_1353_19.jpg'>;Budynki
retrenchment;nadszaniec;;[sound:quizlet-16914807930-front.mp3];[sound:quizlet-16914807930-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076407_200114_1620_04.jpg'>;Budynki
rigid;sztywny;Synonimy: stiff, inflexible, stark;[sound:quizlet-16914807931-front.mp3];[sound:quizlet-16914807931-back.mp3];"<img src=""quizlet-w2aVGzWzhy4Wzh0fvEGSMQ.jpg"">";Materiały budowlane
rigidity;sztywność;Synonimy: stiffness;[sound:quizlet-16914807932-front.mp3];[sound:quizlet-16914807932-back.mp3];"<img src=""quizlet-w2aVGzWzhy4Wzh0fvEGSMQ.jpg"">";Materiały budowlane
rise;wysokość stopnia;;[sound:quizlet-16914807933-front.mp3];[sound:quizlet-16914807933-back.mp3];"<img src=""rise.jpg"">";Elementy konstrukcyjne
riser;podstopnica;;[sound:quizlet-16914807934-front.mp3];[sound:quizlet-16914807934-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076409_200115_1133_23.jpg'>;Elementy konstrukcyjne
rod;pręt;Synonimy: bar, stick;[sound:quizlet-16914807935-front.mp3];[sound:quizlet-16914807935-back.mp3];"<img src=""quizlet-O-ReDn9NR_DuyMzLXPdU5w.jpg"">";Elementy konstrukcyjne
Roman house;dom rzymski;Synonimy: domus;[sound:quizlet-16914807936-front.mp3];[sound:quizlet-16914807936-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076410_191229_1714_54.jpg'>;Budynki
roof;dach;;[sound:quizlet-16914807937-front.mp3];[sound:quizlet-16914807937-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076411_200114_1646_23.jpg'>;Elementy konstrukcyjne
roof tile;dachówka;Synonimy: tile;[sound:quizlet-16914807938-front.mp3];[sound:quizlet-16914807938-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214376837_191228_1604_49.jpg'>;Wykończenia i detale
roof vent;dymnik;;[sound:quizlet-16914807939-front.mp3];[sound:quizlet-16914807939-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076412_200115_1310_18.jpg'>;Elementy konstrukcyjne
roofer;dekarz;Synonimy: tiler;[sound:quizlet-16914807940-front.mp3];[sound:quizlet-16914807940-back.mp3];"<img src=""quizlet-aDqKHfbxLAdyyCZ5n4Fj.g.jpg"">";Zarządzanie projektem, bezpieczeństwo i przepisy
ropiness;lepkość;Synonimy: viscosity, stickiness;[sound:quizlet-16914807941-front.mp3];[sound:quizlet-16914807941-back.mp3];"<img src=""quizlet-GS2u83vLxVTMSileSvW0xA.png"">";Materiały budowlane
rose window;okno rozetowe;;[sound:quizlet-16914807942-front.mp3];[sound:quizlet-16914807942-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076413_191229_1743_13.jpg'>;Wykończenia i detale
rosette;rozetka;;[sound:quizlet-16914807943-front.mp3];[sound:quizlet-16914807943-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076414_191228_1602_46.jpg'>;Style, ornamenty, sztuka i historia
rotunda;rotunda;;[sound:quizlet-16914807944-front.mp3];[sound:quizlet-16914807944-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076415_200115_1338_50.jpg'>;Budynki
rotunda roof;dach piramidalny;;[sound:quizlet-16914807945-front.mp3];[sound:quizlet-16914807945-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076416_200115_1357_42.jpg'>;Elementy konstrukcyjne
roughness;chropowatość;Synonimy: grittiness, asperity;[sound:quizlet-16914807946-front.mp3];[sound:quizlet-16914807946-back.mp3];"<img src=""quizlet-LD18Yos2pzn2cfRAv08uxg.jpg"">";Materiały budowlane
rubble;gruz;Synonimy: crack;[sound:quizlet-16914807947-front.mp3];[sound:quizlet-16914807947-back.mp3];"<img src=""quizlet-1459990977_63d3ddfbef.jpg"">";Materiały budowlane
run;szerokość stopnia;;[sound:quizlet-16914807948-front.mp3];[sound:quizlet-16914807948-back.mp3];"<img src=""rise.jpg"">";Elementy konstrukcyjne
rust;rdza;;[sound:quizlet-16914807949-front.mp3];[sound:quizlet-16914807949-back.mp3];"<img src=""quizlet-QFLYuhDB9ySpQeRK.cfQuw.jpg"">";Materiały budowlane
sanctuary;sanktuarium;;[sound:quizlet-16914807950-front.mp3];[sound:quizlet-16914807950-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076289_191229_1714_34.jpg'>;Budynki
sandpaper;papier ścierny;;[sound:quizlet-16914807951-front.mp3];[sound:quizlet-16914807951-back.mp3];"<img src=""quizlet--qx2mhbVysC-YVS1R1R5YA.jpg"">";Narzędzia i sprzęt
sash frame;część pionowa ościeżnicy;;[sound:quizlet-16914807952-front.mp3];[sound:quizlet-16914807952-back.mp3];"<img src=""quizlet-kdrwv8Sz7vLdTYUfsblY3w.png"">";Wykończenia i detale
sash window;okno przesuwne pionowo;;[sound:quizlet-16914807953-front.mp3];[sound:quizlet-16914807953-back.mp3];"<img src=""quizlet-4w6Uk7vvcrPgvZanEz7FTA.jpg"">";Wykończenia i detale
saturate;nasycić;;[sound:quizlet-16914807954-front.mp3];[sound:quizlet-16914807954-back.mp3];"<img src=""quizlet-Jy5YuY89i9Xv7qT0QCldMw.jpg"">";Materiały budowlane
saturated;nasycony;;[sound:quizlet-16914807955-front.mp3];[sound:quizlet-16914807955-back.mp3];"<img src=""quizlet-Jy5YuY89i9Xv7qT0QCldMw.jpg"">";Materiały budowlane
saturated solution;roztwór nasycony;;[sound:quizlet-16914807956-front.mp3];[sound:quizlet-16914807956-back.mp3];"<img src=""quizlet-Jy5YuY89i9Xv7qT0QCldMw.jpg"">";Materiały budowlane
saw;piła;;[sound:quizlet-16914807957-front.mp3];[sound:quizlet-16914807957-back.mp3];"<img src=""quizlet-J4RwHsKRiwfYIqordaf4aQ.jpg"">";Narzędzia i sprzęt
sawing;piłowanie;;[sound:quizlet-16914807958-front.mp3];[sound:quizlet-16914807958-back.mp3];"<img src=""quizlet-3GjTDqrJ.QBhbX9eMmV9LA.jpg"">";Proces budowlany
sawtooth roof;dach pilasty;;[sound:quizlet-16914807959-front.mp3];[sound:quizlet-16914807959-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076292_200114_1647_54.jpg'>;Elementy konstrukcyjne
scaffolder;rusztowanie;;[sound:quizlet-16914807960-front.mp3];[sound:quizlet-16914807960-back.mp3];"<img src=""quizlet-0B34N2jFmANzOySG3e0csQ.jpg"">";Narzędzia i sprzęt
scarp;skarpa;;[sound:quizlet-16914807961-front.mp3];[sound:quizlet-16914807961-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076293_200114_1619_26.jpg'>;Elementy konstrukcyjne
scotia;żłobek (trochilus);;[sound:quizlet-16914807962-front.mp3];[sound:quizlet-16914807962-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076294_191228_1557_06.jpg'>;Style, ornamenty, sztuka i historia
screw;śruba;Synonimy: bolt;[sound:quizlet-16914807963-front.mp3];[sound:quizlet-16914807963-back.mp3];"<img src=""quizlet-HazqKlKNBMns9WEdPrjWXw.jpg"">";Elementy konstrukcyjne
seal;uszczelka;Synonimy: gasket, packing;[sound:quizlet-16914807964-front.mp3];[sound:quizlet-16914807964-back.mp3];"<img src=""quizlet-HH6DNRU1uPzId.mpMHCEUQ.jpg"">";Elementy konstrukcyjne
sealants;uszczelniacze;;[sound:quizlet-16914807965-front.mp3];[sound:quizlet-16914807965-back.mp3];"<img src=""quizlet-ZQvJFF1DuVyBZTGkRXV1Lw.jpg"">";Materiały budowlane
sediment;osad;;[sound:quizlet-16914807966-front.mp3];[sound:quizlet-16914807966-back.mp3];"<img src=""quizlet-Hl0grl7Dw8zG1rIkqf5v6g.jpg"">";Materiały budowlane
seep;przesączać;Synonimy: filter, strain;[sound:quizlet-16914807967-front.mp3];[sound:quizlet-16914807967-back.mp3];"<img src=""quizlet-0-PDikfX50OQiDkgjtdV2g.jpg"">";Materiały budowlane
seepage;przesączanie;Synonimy: percolation;[sound:quizlet-16914807968-front.mp3];[sound:quizlet-16914807968-back.mp3];"<img src=""quizlet-O4CDlKodYaFiybWU-GuYOg.jpg"">";Materiały budowlane
seismicity;sejsmiczność;;[sound:quizlet-16914807969-front.mp3];[sound:quizlet-16914807969-back.mp3];"<img src=""quizlet-jx-dyFMiSHHqQWtJZiFGPA.jpg"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
semi-detached houses;(domy) bliźniaki;;[sound:quizlet-16914807970-front.mp3];[sound:quizlet-16914807970-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076295_200115_1344_17.jpg'>;Budynki
semicircular arch;łuk półkolisty;;[sound:quizlet-16914807971-front.mp3];[sound:quizlet-16914807971-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076296_191229_1732_58.jpg'>;Elementy konstrukcyjne
sensor;czujnik;Synonimy: gauge;[sound:quizlet-16914807972-front.mp3];[sound:quizlet-16914807972-back.mp3];"<img src=""quizlet-BsewIhBd0u0Y4ZxdxGpAKg.png"">";Instalacje techniczne
sett;kostka brukowa;Synonimy: paving;[sound:quizlet-16914807973-front.mp3];[sound:quizlet-16914807973-back.mp3];"<img src=""quizlet-PZg--KcZSWIQTo.IxKjZag.jpg"">";Elementy konstrukcyjne
shaft;trzon;;[sound:quizlet-16914807974-front.mp3];[sound:quizlet-16914807974-back.mp3];"<img src=""quizlet-G5fMtzlUeZ70skl4a6vsWQ.png"">";Elementy konstrukcyjne
shaft;wał;Synonimy: embankment, rampart, roller;[sound:quizlet-16914807975-front.mp3];[sound:quizlet-16914807975-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076297_191228_1551_01.jpg'>;Elementy konstrukcyjne
shear;ścinanie;;[sound:quizlet-16914807976-front.mp3];[sound:quizlet-16914807976-back.mp3];"<img src=""quizlet-k9ExR5yPGWLH-wxdFfnLdg.jpg"">";Elementy konstrukcyjne
sheathing;poszycie;;[sound:quizlet-16914807977-front.mp3];[sound:quizlet-16914807977-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076298_200115_1258_44.jpg'>;Elementy konstrukcyjne
shed;budynek gospodarczy/szopa;;[sound:quizlet-16914807978-front.mp3];[sound:quizlet-16914807978-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076299_200115_1335_08.jpg'>;Budynki
shop;sklep;;[sound:quizlet-16914807979-front.mp3];[sound:quizlet-16914807979-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076300_191229_1718_28.jpg'>;Budynki
shovel;łopata;Synonimy: spade;[sound:quizlet-16914807980-front.mp3];[sound:quizlet-16914807980-back.mp3];"<img src=""quizlet-gdcL4Pi51szo-I4msWVgnQ.jpg"">";Narzędzia i sprzęt
shutter;okiennica;;[sound:quizlet-16914807981-front.mp3];[sound:quizlet-16914807981-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076301_200115_1140_59.jpg'>;Wykończenia i detale
shutting stile;ramiak pionowy;;[sound:quizlet-16914807982-front.mp3];[sound:quizlet-16914807982-back.mp3];"<img src=""quizlet-DP8oUuDO7zOR8-yDL8qrXw.jpg"">";Wykończenia i detale
side chapel;kaplica boczna;;[sound:quizlet-16914807983-front.mp3];[sound:quizlet-16914807983-back.mp3];"<img src=""quizlet-JLLQQMEgbU9A6quIMZF5GQ.jpg"">";Budynki
side post;podpórka;;[sound:quizlet-16914807984-front.mp3];[sound:quizlet-16914807984-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076304_200115_1204_42.jpg'>;Elementy konstrukcyjne
